Class,Feature,Hope,Stress
Ranger,"RANGER'S FOCUS: Spend a Hope and make an attack against a target. One a success, deal your attack's normal damage and temporarily make the attack's target your Focus. Until this feature ends or you make a different creature your Focus, you gaint he following benefits against your Focus:
◦ You know precisely what direction they are in.
◦ When you deal damage to them, they must mark a Stress.
◦ When you fail an attack against them, you can end your Ranger's Focus feature to reroll your Duality Dice.",-1,
Rogue,"CLOAKED: Any time you would be Hidden, you are instead Cloaked. In addition to the benefits of the Hidden condition, while Cloaked you remain unseen if you are stationary when an adversary moves to where they would normally see you. When you move into or within an adversary's line of sight or make an attack, you are no longer Cloaked,",,
Rogue,"SNEAK ATTACK: When you succeed on an attack while Cloaked or while an ally is within Melee range of your target, add a number of d6s equal to your tier to your damage roll. Level 1 --> Tier 1, Level 2-4 --> Tier 2, Levels 5-7 --> Tier 3, Levels 8-10 --> Tier 4.",,
Seraph,"PRAYER DICE: At the beginning of each session, roll a number of d4s equal to your subclass's Spellcast trait and place them on your character sheet in the space provided. These are your Prayer Dice. You can spend any number of Prayer Dice to aid yourself or an ally within Far range. You can use a spent die's value to reduce incoming damage, add to a roll's result after the roll is made, or gain Hope equal to the result. At the end of each session, clear all unspent Prayer Dice.",,
Sorcerer,ARCANE SENSE: You can sense the presence of magical people and objects within Close range.,,
Sorcerer,"MINOR ILLUSION: Make a Spellcast Roll (10). On a success, you create a minor visual illusion no larger than yourself within Close range. This illusion is convincing to anyone at Close range or farther.",,
Sorcerer,"CHANNEL RAW POWER: Once per long rest, you can place a domain card from your loadout into your vault and choose to either:
◦ Gain Hope equal to the level of the card.
◦ Enhance a spell that deals damage, gaining a bonus to your damage roll equal to twice the level of the card.",,
Warlock,"Patron's Pact: You have committed yourself to a supernatural entity—such as a god, fae, or demon—in exchange for power. Write their name on your character sheet, then work with your GM to determine their sphere of influence (such as Nature, Chaos, Wisdom, Mischief, Love, War, Justice, or Death). Before making an action roll that relates to your patron’s sphere of influence, you can spend
a Favor to call upon their aid, rolling your Patron Die and adding its result to the total. Your Patron Die starts at a d6 and increases to a d8 at level 5.",,
Warlock,"Favor: You start with 3 Favor. You can use a downtime move to show tribute to your patron. Describe how and gain Favor equal to your Spellcast trait. Additionally, when you succeed on an action roll with Hope, you can choose to gain a Favor instead of a Hope.
Note: The maximum Favor you can hold at one time is 6.",,
Warrior,"COMBAT TRAINING: You ignore burden when equipping weapons. When you deal physical damage, you gain a bonus to your damage roll equal to your level.",,
Warrior,"ATTACK OF OPPORTUNITY: If an adversary within Melee range attempts to leave that range, make a reaction roll using a trait of your choice against their Difficulty. Choose one effect on a success, or two if you critically succeed:
◦ They can't move from where they are.
◦ You deal damage to them equal to your primary weapon's damage.
◦ You move with them.",,
Witch,"Hex: Mark a Stress to temporarily Hex a target within Far range. While Hexed, the target gains a penalty to their damage rolls and Difficulty equal to your tier. The maximum number of creatures you can Hex at one time is equal to your Spellcast trait.",,-1
Witch,"Commune: Once per long rest during a moment of calm, you can commune with an ancestor, a deity, a spirit, or an otherworldly being. Ask them a question, then roll a number of d6s equal to your Spellcast trait. Choose one of the results and reference the chart below for the effect.
1–3 : You taste a flavor, smell a scent, or feel a sensation relevant to the answer.
4–5 : You hear sounds or see a vision relevant to the answer.
6 : You psychically experience a scene relevant to the answer as if you were there.",,
Wizard,"PRESTIDIGITATION: You can perform harmless, subtle magical effects at will. For example, you can change an object's color, create a smell, light a candle, cause a tiny object to float, illuminate a room, or repair a small object.",,
Wizard,"STRANGE PATTERNS: Choose a number between 1 and 12. When you roll that number on a Duality Die, gain a Hope or clear a Stress. You can change this number when you take a long rest.",,
